,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
1906,dawei,mm,14.158941157417004,98.43128683369281,82.99,74.0,24.0,1.9
1909,mocajuba,br,-3.191719734149501,-49.01202187552349,75.47,91.0,92.0,4.59
1912,san jose,gt,6.991575012968681,-92.96802841372103,72.5,100.0,92.0,3.13
1913,zavolzhsk,ru,57.61610774498331,42.10170603256128,28.99,96.0,92.0,15.66
1922,arman,ru,58.50277622765438,148.27945552866453,33.8,80.0,40.0,15.66
1923,trenggalek,id,-8.489994201505183,111.5417824292179,81.5,89.0,12.0,3.13
1925,prainha,br,-2.1407820981748955,-53.59368818052583,77.9,87.0,12.0,4.59
1927,nanortalik,gl,53.76651067043636,-36.31722391235357,34.25,97.0,0.0,36.13
1930,sorong,id,-0.49967853680199426,130.1154814537029,83.57,100.0,20.0,6.6
1941,batemans bay,au,-38.009899472176784,150.84285886159944,79.3,57.0,0.0,0.78
1945,jalu,ly,26.31730864298521,21.122663051101057,60.13,44.0,8.0,12.53
1949,belle fourche,us,45.52231649663679,-104.07321380237671,34.63,69.0,1.0,8.05
1950,cap malheureux,mu,-12.34873043668955,60.81846989465748,80.6,83.0,75.0,11.41
1951,biak,id,1.8091246680696713,136.68333792261222,80.65,96.0,76.0,2.35
1955,kenora,ca,48.895302113349885,-95.26112222879614,21.31,57.0,75.0,8.05
1967,uaua,br,-10.114371682163195,-39.776442251411765,82.18,48.0,24.0,12.19
1968,strezhevoy,ru,61.19041673296937,78.30403884726451,8.6,84.0,20.0,11.18
1972,poya,nc,-25.974543663229838,161.25585316798941,80.29,94.0,68.0,12.19
1973,awjilah,ly,24.852406716004083,19.394777644531956,61.07,41.0,36.0,11.97
1974,colares,pt,39.1169587371443,-10.735889508045801,55.4,93.0,75.0,11.41
1976,dossor,kz,47.857518570200114,52.80231213192869,29.57,78.0,0.0,11.41
1983,boa vista,br,1.9067619344096869,-62.73240760306983,86.0,51.0,0.0,13.87
1985,bonavista,ca,51.04894482064654,-52.776461729647025,33.94,82.0,88.0,19.13
1987,harindanga,in,19.959231238046726,89.34096277644414,71.6,78.0,40.0,6.93
1988,oranjemund,na,-29.69117908658439,16.463176710853133,62.38,97.0,88.0,8.16
1996,tenenkou,ml,15.347454386430002,-5.119325796540153,82.49,32.0,80.0,7.27
1999,malm,no,63.95138543571133,10.82877740714332,21.52,84.0,64.0,3.13
2003,byron bay,au,-28.265461150783935,157.13091715074762,80.6,69.0,75.0,12.75
